x 0fx

1 5.273002898320556e-06 
10 6.886001210659742e-05 
100 0.0011118690017610788 
1000 0.017703718011034653 
10000 0.25728635999257676 
100000 3.3250119449803606 
1000000 40.853837917005876 
2000000 88.33035617801943 
3000000 136.82018959900597 
4000000 184.60974552299012 
5000000 238.02820989800966 
6000000 287.61046689999057 
7000000 342.6080822960066 
8000000 393.95723816001555 
9000000 451.36076306400355 
10000000 503.4704342560144 
11000000 561.0859273599926 
12000000 605.5424914110044 
13000000 673.490989006008 
14000000 731.9001496570127 
15000000 792.104441456002 
16000000 824.67451135398 
17000000 894.0477663269849 
18000000 943.9800350600271 
19000000 1036.2321300650074

